Temps (s),CH2 (V),CH3 (V),CH4 (V)
9.099639855942376e-07,61.0,-43.0,4.0
9.123649459783913e-07,62.0,-42.0,5.0
9.14765906362545e-07,61.0,-42.0,4.0
9.171668667466987e-07,61.0,-43.0,4.0
9.195678271308523e-07,62.0,-44.0,4.0
9.21968787515006e-07,62.0,-44.0,5.0
9.243697478991596e-07,62.0,-42.0,6.0
9.267707082833133e-07,62.0,-43.0,4.0
9.291716686674669e-07,61.0,-41.0,5.0
9.315726290516207e-07,61.0,-42.0,4.0
9.339735894357743e-07,62.0,-42.0,5.0
9.363745498199279e-07,62.0,-43.0,5.0
9.387755102040816e-07,62.0,-43.0,5.0
9.411764705882352e-07,63.0,-43.0,5.0
9.435774309723889e-07,62.0,-42.0,4.0
9.459783913565426e-07,63.0,-43.0,5.0
9.483793517406963e-07,63.0,-43.0,4.0
9.507803121248499e-07,61.0,-42.0,4.0
9.531812725090036e-07,62.0,-44.0,4.0
9.555822328931572e-07,63.0,-42.0,4.0
9.579831932773109e-07,62.0,-42.0,4.0
9.603841536614645e-07,62.0,-43.0,4.0
9.627851140456181e-07,62.0,-43.0,4.0
9.651860744297718e-07,62.0,-43.0,5.0
9.675870348139254e-07,62.0,-43.0,5.0
9.699879951980793e-07,61.0,-43.0,5.0
9.72388955582233e-07,62.0,-43.0,4.0
9.747899159663866e-07,62.0,-42.0,5.0
9.771908763505402e-07,61.0,-43.0,4.0
9.795918367346939e-07,62.0,-43.0,4.0
9.819927971188475e-07,62.0,-42.0,4.0
9.843937575030012e-07,62.0,-43.0,4.0
9.867947178871548e-07,62.0,-43.0,4.0
9.891956782713084e-07,62.0,-42.0,5.0
9.91596638655462e-07,62.0,-42.0,4.0
9.939975990396157e-07,62.0,-42.0,4.0
9.963985594237694e-07,61.0,-42.0,5.0
9.98799519807923e-07,62.0,-42.0,5.0
1.0012004801920769e-06,61.0,-42.0,6.0
1.0036014405762305e-06,62.0,-42.0,5.0
1.0060024009603842e-06,62.0,-43.0,4.0
1.0084033613445378e-06,62.0,-43.0,5.0
1.0108043217286915e-06,62.0,-43.0,4.0
1.0132052821128451e-06,62.0,-43.0,6.0
1.0156062424969988e-06,62.0,-43.0,5.0
1.0180072028811524e-06,62.0,-43.0,4.0
1.020408163265306e-06,63.0,-43.0,5.0
1.0228091236494597e-06,62.0,-42.0,5.0
1.0252100840336133e-06,62.0,-42.0,6.0
1.027611044417767e-06,62.0,-42.0,4.0
1.0300120048019208e-06,61.0,-43.0,5.0
1.0324129651860745e-06,62.0,-43.0,5.0
1.0348139255702281e-06,62.0,-43.0,5.0
1.0372148859543818e-06,62.0,-42.0,4.0
1.0396158463385354e-06,62.0,-43.0,4.0
1.042016806722689e-06,61.0,-43.0,5.0
1.0444177671068427e-06,62.0,-42.0,5.0
1.0468187274909963e-06,63.0,-42.0,5.0
1.04921968787515e-06,61.0,-42.0,4.0
1.0516206482593036e-06,62.0,-42.0,4.0
1.0540216086434573e-06,62.0,-43.0,5.0
1.056422569027611e-06,62.0,-42.0,5.0
1.0588235294117646e-06,62.0,-41.0,5.0
